AccX,AccY,AccZ
-1.769315,12.586318,-1.6807296
-1.7405846,-2.042254,23.063345
0.20111294,2.8491,12.397177
-3.892972,-0.320823,4.048595
3.0573955,8.159439,7.0461354
-1.2090719,-3.2824504,8.147469
-1.6400281,-8.89446,6.9838862
4.1635165,6.315904,2.873042
-0.81402856,14.441825,12.20564
-3.6822822,0.47884035,11.463438
1.091756,8.676587,16.488867
5.6670756,9.85214,8.343793
-4.5058875,6.8929067,11.69807
-2.8419175,-2.8682537,12.816162
2.1739352,10.776301,2.4779987
2.2050598,6.7803793,-8.532935
-6.751649,10.16578,22.92927
-1.2737153,-12.212823,34.976894
2.920926,6.861782,12.603078
-7.2089415,-1.7501614,1.7190368
-2.6551697,1.3024458,13.00291
0.30645782,0.272939,5.6982
-3.7421372,5.8442464,1.0893618
-0.4165911,3.6152446,12.76349
0.33518824,-0.7350199,12.571953
-1.1731589,-4.039018,10.357317
0.9959879,10.852917,10.103531
-1.0175357,1.9536686,6.7468605
-2.96881,-7.4507556,-0.45010993
-0.7062895,-10.864887,8.801085
-3.7445314,9.974244,14.95179
5.985504,5.0757074,-0.023942016
-4.697424,-17.887081,24.74168
-11.468226,-3.9552212,24.63873
9.885659,-2.5187001,6.459556
3.5242648,13.917495,25.187002
-4.8267107,4.582502,-11.568783
3.347094,10.522516,5.279215
-3.383007,-1.3024458,12.708423
2.0374656,7.687782,-4.4436383
2.9616275,-10.156203,8.00621
-10.268731,1.2282255,13.065159
-1.2401965,-6.2704144,4.8937483
9.986216,16.642096,3.5625722
-0.37828386,6.2225304,10.01734
-9.895236,3.4093432,31.562761
4.4101195,-7.491457,20.293253
11.034876,1.328782,-6.3925185
-5.2887917,14.709975,4.5034933
-4.235343,4.120421,8.588001
11.319786,-1.0319009,7.0006456
-1.1803415,-2.0566192,11.456255
-2.9161377,8.887277,3.3614593
3.3566709,3.5625722,8.944737
3.0238767,0.15801731,10.251971
3.098097,-1.8100165,6.2512608
0.8571242,-7.2807674,0.50278234
0.78529817,0.7158663,7.252037
2.3439236,-0.05746084,10.163386
0.91219085,7.8050976,10.441113
-3.7588966,1.1444284,2.3798366
0.12928689,3.2704794,14.520833
3.5769374,4.685453,7.1371155
-1.2234371,3.145981,3.265691
-0.021547815,-3.5003228,5.815516
-1.6424223,-5.3007627,11.298238
-3.2609026,-5.1690817,-1.0007763
0.6464345,8.623915,4.43885
-0.08379706,4.0533834,11.750742
-3.0933087,10.606314,16.493656
-2.6072857,-2.5785553,9.923966
-4.10845,0.6871359,15.454572
-1.0079589,3.821146,10.536881
-0.7182605,-0.9888053,10.793061
-3.3877954,3.7014358,8.513782
-1.5179238,0.011971008,11.013328
0.30885202,2.2481554,11.834539
-2.9640217,-0.7158663,10.09156
0.12449849,0.35913026,9.176975
1.1540052,5.765238,12.49055
-0.021547815,6.9862804,10.079589
0.545878,5.9160724,19.436129
-1.5011644,7.03177,7.833828
0.7661445,2.5139117,13.295002
-2.0590134,-6.0357823,20.51352
-2.2984335,-5.104438,8.836999
2.1930888,3.064578,1.2282255
-3.4763808,2.8538885,3.4715924
-0.48362875,-4.158728,13.022063
2.7629087,0.110133275,10.805033
1.0414777,8.133103,3.3925838
-0.33997664,4.1802764,9.643845
-3.0813377,6.253655,7.723695
2.315193,8.212111,11.468226
-1.1779473,3.9624038,12.548011
-3.1124623,-0.581791,13.922283
1.7741034,2.5953147,16.469713
-2.504335,3.5482068,3.7349546
-1.7669208,-3.0190883,7.237672
-1.4748282,-7.8769236,6.9168487
-3.6128504,-6.3925185,8.961497
2.5833437,4.855441,3.560178
3.514688,1.2880806,4.501099
-1.4700398,2.956839,8.860941
1.3814543,0.58657944,9.967062
0.5363012,5.791574,1.1707647
1.4269443,-4.3358994,9.028535
-1.2162545,-2.087744,15.433024
-1.70946,1.5370775,8.039729
3.0621839,3.608062,6.0118403
0.44532153,-1.1947067,13.096283
-0.82360536,0.45250413,4.8985367
2.3894134,0.45250413,0.39264908
-0.009576807,7.5824366,2.006341
0.05746084,3.4596214,12.945449
1.0606314,10.556035,6.081272
0.34715924,-4.1491513,12.344504
-0.4165911,0.8331822,5.8083334
2.1499932,1.4580688,5.185841
0.6344634,2.8395233,18.06425
1.151611,6.8929067,8.631097
-0.46208093,-7.565677,14.197616
-1.2976574,-8.942344,12.576741
-0.093373865,-3.5745432,2.0757728
-0.24660277,7.503428,6.658275
1.5610195,4.146757,8.8777
1.2545617,3.9145198,10.354922
-1.127669,-5.5856724,5.48751
0.14844051,0.16280572,10.78109
-1.9752164,-12.382812,9.581595
-0.93852705,9.085996,4.84347
-0.320823,0.20829555,1.0773908
-2.3175871,1.5466543,6.859388
-0.40940848,-2.980781,10.553641
-1.1803415,-2.4492683,16.94616
-2.3391352,0.6703765,1.3120226
0.29448682,2.2840683,15.8783455
-3.5338416,1.1611878,12.457031
1.0821792,2.9735985,15.519216
-0.04070143,6.033388,6.9000893
-3.454833,1.5394717,12.725182
0.11731588,1.0821792,16.50802
-0.8738836,1.8124107,14.255077
-0.5602432,4.2066126,6.7013707
-2.8921957,-3.58412,9.85214
-2.0111294,0.320823,7.467515
2.7126305,5.5737014,0.7278373
-0.5506664,0.58657944,10.134656
-2.1906946,3.4476504,10.70687
2.7724855,1.1133038,6.375759
1.7836803,-0.4405331,6.0285997
-4.2880154,-3.904943,16.385916
0.30885202,7.469909,2.89459
1.4221559,-4.321534,1.2449849
-0.6368576,4.5561657,17.01559
-0.016759412,3.1675289,10.15381
-1.2761095,6.7468605,19.785683
-0.5363012,0.6488287,8.056489
0.4213795,4.5274353,18.667591
-5.0038815,-0.81402856,17.029957
0.9888053,5.559336,15.674838
3.3686419,5.3223104,11.336545
0.90979666,2.777274,12.49055
0.33039984,3.371036,7.9966335
-1.6160861,-0.30645782,5.865794
-1.3072342,-2.2050598,16.7235
2.15957,-1.0079589,8.774749
-1.9369092,-1.2641385,7.57286
-0.7326257,0.09816227,13.534422
4.747702,6.955156,8.875306
1.7046716,2.5091233,3.667917
-1.0151415,1.673547,11.547235
0.92416185,-1.6903064,14.523228
2.7102363,3.169923,13.850457
-3.0119057,-3.0789435,7.836222
-1.2761095,-0.49799395,4.0222588
0.37828386,-2.554613,10.692505
-0.30406362,2.4037786,6.289568
1.8938135,-3.5242648,7.762002
-1.7956513,-0.82121116,6.64391
3.095703,-3.916914,9.392453
-1.0606314,3.58412,9.107543
-1.8842367,3.1052797,4.9583917
4.223372,4.4675803,7.0365586
-2.7509377,0.5291186,4.201824
-0.6464345,6.3949127,6.1890116
1.3311762,-1.3431472,14.362816
-1.7357962,5.57849,1.532289
2.1906946,-0.15083471,8.173804
-2.5737667,5.0158525,18.088194
1.5275006,1.7836803,6.2368956
1.4820108,4.537012,9.605537
-2.018312,1.5729905,5.2863975
-0.35194764,-3.6104562,9.689334
-0.24660277,-2.9041667,13.661315
0.8331822,-1.6472107,8.719683
2.2768857,-3.6056678,4.9703627
-2.3343468,0.33518824,9.773131
-0.23223756,-1.3239936,13.579912
1.1923125,5.57849,10.189722
-3.3614593,4.9559975,10.78109
0.17238252,0.545878,13.821727
-1.8914193,0.6512229,5.9759274
-2.9472623,-4.9823337,17.336414
-0.10055647,2.0015526,8.968679
-0.7445967,1.30484,12.576741
