AccX,AccY,AccZ,Accident,GyroX,GyroY,GyroZ
-0.25378537,1.0726024,9.737218,0,-0.014049901,-0.0067195175,0.036651913
-0.34476504,1.0271125,9.564836,1,0.0012217305,0.0061086523,0.009773844
-0.31364042,1.0630256,9.540894,1,0.03604105,-0.050701816,-0.016493361
-0.56982,0.8882488,9.476251,0,-0.0030543262,-0.004886922,-0.049480084
-0.7110779,1.0893618,9.516952,0,-0.017104227,-0.023823744,-0.04337143
-0.3878607,1.2114661,9.299079,0,0.004276057,-0.017715093,-0.056199603
-0.6560113,1.1085154,9.497798,0,0.00061086525,0.007941248,-0.064751714
-0.16280572,1.0127473,9.631873,1,0.0067195175,-0.021991149,-0.03359759
-0.44771573,0.9576807,9.5385,0,0.0061086523,0.004886922,-0.02565634
-0.6799533,1.0295067,9.583989,0,0.012217305,-0.02565634,-0.034208454
-0.51954174,1.0821792,9.449914,1,-0.0012217305,-0.029321533,-0.03359759
-0.7613561,1.2976574,9.454702,0,-0.021380283,-0.03481932,-0.018936822
-0.6991069,1.316811,9.548077,0,-0.009162978,-0.03604105,-0.002443461
-0.6679823,1.1133038,9.555259,0,-0.0067195175,-0.0030543262,0.029321533
-0.36631286,0.89303726,9.624691,0,0.009162978,-0.03604105,0.04337143
-0.5554548,0.6464345,9.483433,0,0.030543262,-0.005497787,0.022602014
-0.47405192,0.7398083,9.629479,1,0.004886922,-0.045814894,0.04520403
-0.2777274,1.043872,9.667787,0,-0.036651913,-0.009773844,0.04642576
-0.5793968,1.1851299,9.43076,0,0.0012217305,0.0061086523,0.03726278
0.033518825,0.9624691,9.464279,1,0.023823744,-0.031154128,0.032375857
-0.30645782,0.7517793,9.622296,0,0.0012217305,0.0012217305,0.0036651916
-0.35194764,0.8355764,9.524135,0,-0.007330383,-0.02321288,-0.014660766
-0.23942018,1.0821792,9.3421755,1,0.0036651916,-0.0067195175,-0.02321288
-0.2825158,1.091756,9.473856,0,-0.01160644,0.015882496,-0.014660766
-0.1412579,1.0127473,9.488221,1,0.008552114,0.036651913,-0.01282817
-0.16998832,0.92416185,9.540894,0,0.015271631,-0.029321533,0.002443461
-0.46447513,0.90500826,9.909601,1,0.0061086523,-0.02076942,-0.06047566
-0.81402856,1.1133038,9.394848,0,0.027488936,0.007941248,-0.070249505
-0.1364695,1.1109096,9.718064,0,0.017715093,0.018936822,0.031154128
-0.019153614,1.115698,9.61272,1,-0.008552114,0.043982297,0.10262536
-0.2777274,1.0941502,9.512163,1,0.015271631,-0.016493361,0.065973446
-0.46926352,1.1611878,9.43076,0,0.0061086523,0.007941248,0.0720821
-0.36870706,1.0965444,9.7324295,0,-0.03176499,-0.016493361,0.12767084
-0.58418524,1.0821792,9.3421755,1,0.004886922,0.00061086525,0.032986723
-0.79487497,0.91697925,9.155427,1,0.044593163,0.034208454,-0.064751714
0.23223756,0.92655605,9.873688,1,-0.0030543262,0.04337143,0.04886922
0.22744916,1.1013328,9.80665,0,-0.043982297,0.01160644,0.10262536
-0.7038953,1.1947067,9.361329,1,0.01160644,0.04337143,-0.02565634
