TimeStamps,Accident,Accident,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
0.26,0,1,-0.8858546,0.7613561,9.706094,-0.013439035,0.0030543262,0.17715092,4.466667374524844,5.198934645909195,0.01246165142
0.28,0,1,-0.4285621,1.0390835,9.303867,-0.047647487,0.0061086523,0.065973446,6.365860840156681,2.6210666021359996,0.013781120340000001
0.3,0,1,0.0023942017,0.94331545,9.555259,0.028099801,-0.007941248,0.02565634,5.638091763360757,-0.014286794958205581,0.01429424714
0.32,0,1,-0.30885202,0.7661445,9.744401,0.023823744,0.007330383,0.09773844,4.493332116727938,1.8098194036496749,0.016249015940000004
0.34,0,1,-0.35434186,0.81642276,9.406818,-0.04337143,0.03726278,0.10751228,4.956803697146548,2.149161480486908,0.018399261540000007
0.36,0,1,-0.11731588,0.85473,9.3661175,-0.004276057,0.018936822,0.035430185,5.213829597619988,0.7146549481373,0.019107865240000004
0.38,0,1,-0.20111294,0.7493851,9.749189,0.031154128,0.014049901,-0.0018325958,4.3945460500701286,1.178294091689008,0.019071213324000004
0.4,0,1,-0.36391866,0.82599956,9.603143,-0.016493361,0.015271631,0.01038471,4.912599518885698,2.1622540026672246,0.019278907524000004
0.42,0,1,-0.36391866,1.0582372,9.387665,-0.0061086523,0.04153884,-0.0036651916,6.42680638799956,2.206036722435273,0.019205603692000004
0.44,0,1,-0.050278235,1.0175357,9.619903,0.018325957,0.034208454,-0.0030543262,6.037871370807418,0.29779134314790207,0.019144517168000003
0.46,0,1,-0.30406362,0.90021986,9.593566,0.0012217305,0.039095376,0.0036651916,5.358022836985865,1.8074208532572256,0.019217821000000003
0.48,0,1,-0.50757074,0.92176765,9.588778,-0.009162978,0.01282817,-0.004886922,5.483331575355043,3.016178800234437,0.019120082560000005
0.5,0,1,-0.60573304,0.82360536,9.473856,0.03176499,0.03604105,-0.016493361,4.958417002682769,3.6446501312497057,0.018790215340000003
0.52,0,1,-0.260968,0.94570965,9.646238,0.016493361,0.04153884,0.009773844,5.597304605797445,1.5423034082756588,0.018985692220000003
0.54,0,1,-0.5243302,1.0773908,9.519346,-0.019547688,0.021991149,0.01282817,6.4475152891167316,3.1327333399470247,0.019242255620000003
0.56,0,1,-0.49559975,1.1540052,9.471462,0.005497787,0.040927973,-0.030543262,6.9372940118661965,2.9733546608067885,0.01863139038
0.58,0,1,-0.21787235,0.9624691,9.679757,0.026267206,0.022602014,-0.037873644,5.676891322226171,1.2830730876430414,0.017873917500000006
0.6,0,1,-0.50278234,0.92176765,9.576807,0.007941248,0.055588737,-0.017104227,5.490268332176252,2.9914698429164197,0.017531832960000007
0.62,0,1,-0.48123455,1.0462662,9.560047,-0.01038471,0.014660766,-0.0067195175,6.237845588020884,2.864652181496092,0.017397442610000008
0.64,0,1,-0.8834604,1.0749966,9.440337,-0.0012217305,0.018936822,-0.028099801,6.468419413046719,5.3122393666045165,0.016835446590000008
0.66,0,1,-0.31364042,0.93613285,9.634268,0.018936822,0.05131268,-0.014049901,5.54691602819199,1.8558524988144915,0.01655444857000001
0.68,0,1,-0.770933,0.91937345,9.516952,-0.0030543262,-0.007941248,0.015882496,5.49996117825699,4.609839246410934,0.016872098490000008
0.7000000000000001,0,1,-0.6488287,0.9840169,9.32781,-0.01038471,0.04886922,-0.019547688,6.007610120337716,3.9571132533186466,0.016481144730000008
0.72,0,1,-0.05746084,0.93613285,9.552865,0.019547688,0.03176499,-0.036651913,5.5967285439153205,0.3429892076349246,0.015748106470000012
0.74,0,1,-0.5530606,0.8451532,9.581595,0.009162978,0.030543262,-0.0842994,5.0324465697896175,3.290763755644356,0.014062118470000011
0.76,0,1,-0.50517654,1.0055647,9.375694,0.015882496,0.015271631,-0.16126843,6.1129028352608,3.06664704800733,0.01083674987000001
0.78,0,1,-0.25857377,1.1013328,9.512163,0.02443461,0.053145275,-0.16249016,6.601969218226485,1.546787638258798,0.007586946670000007
